keyword,그룹축,adgroup_name,keyword_id,status,bid,권고,축구분
E편한세상센텀하이베뉴분양권,B_입주예정 ↔ 부울경_D_입주예정,부울경_D_입주예정,nkw-a001-01-000008542821083,ELIGIBLE,110,생존(부울경 우선),지시서 축
E편한세상센텀하이베뉴시세,B_입주예정 ↔ 부울경_D_입주예정,B_입주예정,nkw-a001-01-000008540645988,PAUSED,80,OFF 권고(전국측),지시서 축
E편한세상센텀하이베뉴시세,B_입주예정 ↔ 부울경_D_입주예정,부울경_D_입주예정,nkw-a001-01-000008542821086,ELIGIBLE,110,생존(부울경 우선),지시서 축
E편한세상센텀하이베뉴실거래가,B_입주예정 ↔ 부울경_D_입주예정,B_입주예정,nkw-a001-01-000008540645989,PAUSED,80,OFF 권고(전국측),지시서 축
E편한세상센텀하이베뉴실거래가,B_입주예정 ↔ 부울경_D_입주예정,부울경_D_입주예정,nkw-a001-01-000008542821088,ELIGIBLE,110,생존(부울경 우선),지시서 축
E편한세상센텀하이베뉴입주,B_입주예정 ↔ 부울경_D_입주예정,B_입주예정,nkw-a001-01-000008540645986,PAUSED,80,OFF 권고(전국측),지시서 축
E편한세상센텀하이베뉴입주,B_입주예정 ↔ 부울경_D_입주예정,부울경_D_입주예정,nkw-a001-01-000008542821085,ELIGIBLE,110,생존(부울경 우선),지시서 축
E편한세상센텀하이베뉴입주일,B_입주예정 ↔ 부울경_D_입주예정,B_입주예정,nkw-a001-01-000008540645994,PAUSED,80,OFF 권고(전국측),지시서 축
E편한세상센텀하이베뉴입주일,B_입주예정 ↔ 부울경_D_입주예정,부울경_D_입주예정,nkw-a001-01-000008542821092,ELIGIBLE,110,생존(부울경 우선),지시서 축
E편한세상센텀하이베뉴평면도,B_입주예정 ↔ 부울경_D_입주예정,B_입주예정,nkw-a001-01-000008540645991,PAUSED,80,OFF 권고(전국측),지시서 축
E편한세상센텀하이베뉴평면도,B_입주예정 ↔ 부울경_D_입주예정,부울경_D_입주예정,nkw-a001-01-000008542821089,ELIGIBLE,110,생존(부울경 우선),지시서 축
E편한세상센텀하이베뉴프리미엄,B_입주예정 ↔ 부울경_D_입주예정,B_입주예정,nkw-a001-01-000008540645993,PAUSED,80,OFF 권고(전국측),지시서 축
E편한세상센텀하이베뉴프리미엄,B_입주예정 ↔ 부울경_D_입주예정,부울경_D_입주예정,nkw-a001-01-000008542821091,ELIGIBLE,110,생존(부울경 우선),지시서 축
E편한세상신정스카이하임,B_입주예정 ↔ 부울경_D_입주예정,B_입주예정,nkw-a001-01-000008540646682,PAUSED,80,OFF 권고(전국측),지시서 축
E편한세상신정스카이하임,B_입주예정 ↔ 부울경_D_입주예정,부울경_D_입주예정,nkw-a001-01-000008542821368,ELIGIBLE,110,생존(부울경 우선),지시서 축
E편한세상신정스카이하임분양권,B_입주예정 ↔ 부울경_D_입주예정,B_입주예정,nkw-a001-01-000008540646683,PAUSED,80,OFF 권고(전국측),지시서 축
E편한세상신정스카이하임분양권,B_입주예정 ↔ 부울경_D_입주예정,부울경_D_입주예정,nkw-a001-01-000008542821369,ELIGIBLE,110,생존(부울경 우선),지시서 축
E편한세상신정스카이하임시세,B_입주예정 ↔ 부울경_D_입주예정,B_입주예정,nkw-a001-01-000008540646685,PAUSED,80,OFF 권고(전국측),지시서 축
E편한세상신정스카이하임시세,B_입주예정 ↔ 부울경_D_입주예정,부울경_D_입주예정,nkw-a001-01-000008542821371,ELIGIBLE,110,생존(부울경 우선),지시서 축
E편한세상신정스카이하임실거래가,B_입주예정 ↔ 부울경_D_입주예정,B_입주예정,nkw-a001-01-000008540646686,PAUSED,80,OFF 권고(전국측),지시서 축
E편한세상신정스카이하임실거래가,B_입주예정 ↔ 부울경_D_입주예정,부울경_D_입주예정,nkw-a001-01-000008542821372,ELIGIBLE,110,생존(부울경 우선),지시서 축
