slug,name,cat,region,sigungu,total_units,content_score
ktx울산역우성스마트시티뷰,KTX울산역우성스마트시티뷰,F_기축,울산,울주군,,90
u-스타시티일동미라주더스타3단지,U-스타시티일동미라주더스타3단지,F_기축,울산,북구,,50
강변그린빌6-1,강변그린빌(6-1),F_기축,울산,울주군,,90
경동우신알프스타운,경동우신알프스타운,F_기축,울산,울주군,,90
경동청구타운,경동청구타운,F_기축,울산,울주군,,85
경동태원하이빌,경동태원하이빌,F_기축,울산,울주군,,83
구영1차우미린,구영1차우미린,F_기축,울산,울주군,,90
구영2차우미린,구영2차우미린,F_기축,울산,울주군,,90
구영2차푸르지오,구영2차푸르지오,F_기축,울산,울주군,,66
구영강변디아채,구영강변디아채,F_기축,울산,울주군,,90
구영더라이징,구영더라이징,F_기축,울산,울주군,,80
구영지구푸르지오1단지,구영지구푸르지오1단지,F_기축,울산,울주군,,81
구영지구푸르지오2단지,구영지구푸르지오2단지,F_기축,울산,울주군,,83
구영현대아이파크,구영현대아이파크,F_기축,울산,울주군,,81
남울산-노르웨이숲조합원-취소분2회차,남울산 노르웨이숲(조합원 취소분)(2회차),F_기축,울산,울주군,52,51
다운-한양립스-더-퍼스트-하임,다운 한양립스 더 퍼스트 하임,F_기축,울산,중구,140,100
대안ipark,대안IPARK,F_기축,울산,울주군,,83
대진그린피아,대진그린피아,F_기축,울산,울주군,,90
덕하상남지구골드클래스,덕하상남지구골드클래스,F_기축,울산,울주군,,89
덕하한양수자인,덕하한양수자인,F_기축,울산,울주군,,82
동문굿모닝힐,동문굿모닝힐,F_기축,울산,울주군,,83
동호대안맨션,동호대안맨션,F_기축,울산,울주군,,82
문수데시앙1단지,문수데시앙1단지,F_기축,울산,울주군,71,91
문수데시앙2단지,문수데시앙2단지,F_기축,울산,울주군,71,94
문수로-드림파크,문수로 드림파크,F_기축,울산,남구,246,98
문수로-아르티스,문수로 아르티스,F_기축,울산,남구,273,100
문수로대공원-에일린의-뜰,문수로대공원 에일린의 뜰,F_기축,울산,남구,99,92
문수마을수필,문수마을수필,F_기축,울산,울주군,,82
문수산더샵,문수산 더샵,F_기축,울산,울주군,,90
문수산동문굿모닝힐,문수산동문굿모닝힐,F_기축,울산,울주군,,86
문수산동원로얄듀크,문수산동원로얄듀크,F_기축,울산,울주군,,81
문수산신동아파밀리에,문수산신동아파밀리에,F_기축,울산,울주군,,80
문수산푸르지오,문수산푸르지오,F_기축,울산,울주군,,90
문수애시앙1단지,문수애시앙1단지,F_기축,울산,울주군,,85
문수애시앙2단지,문수애시앙2단지,F_기축,울산,울주군,,81
문수애시앙3단지,문수애시앙3단지,F_기축,울산,울주군,,90
번영로-서한이다음-프레스티지,번영로 서한이다음 프레스티지,F_기축,울산,중구,109,99
번영로-센텀파크-에일린의-뜰,번영로 센텀파크 에일린의 뜰,F_기축,울산,남구,184,97
번영로-하늘채-센트럴파크,번영로 하늘채 센트럴파크,F_기축,울산,남구,295,94
범서현대3차,범서현대3차,F_기축,울산,울주군,,87
삼진843-1,삼진(843-1),F_기축,울산,울주군,,82
삼호-비스타동원,삼호 비스타동원,F_기축,울산,남구,108,94
상아해미안1차,상아해미안1차,F_기축,울산,울주군,,82
서울산한신휴플러스,서울산한신휴플러스,F_기축,울산,울주군,,82
세명그린파크,세명그린파크,F_기축,울산,울주군,,66
수산로얄팰리스,수산로얄팰리스,F_기축,울산,울주군,,88
스타골든캐슬아파트,스타골든캐슬아파트,F_기축,울산,울주군,,81
신울산경남아너스빌,신울산경남아너스빌,F_기축,울산,울주군,,90
쌍용하나빌리지,쌍용하나빌리지,F_기축,울산,울주군,,85
양우내안애더퍼스트,양우내안애더퍼스트,F_기축,울산,울주군,,90
언양동부주공,언양동부주공,F_기축,울산,울주군,,84
에일린의뜰2차아파트,에일린의뜰2차아파트,F_기축,울산,중구,,53
영우-트리지움-2차-주상복합-아파트,영우 트리지움 2차 주상복합 아파트,F_기축,울산,중구,32,90
오토밸리-한양립스-포레스트,오토밸리 한양립스 포레스트,F_기축,울산,북구,149,100
온양발리-한양립스-더퍼스트조합원-취소분,온양발리 한양립스 더퍼스트(조합원 취소분),F_기축,울산,울주군,84,100
울산-베스티안,울산 베스티안,F_기축,울산,동구,62,94
울산-온양발리-신일해피트리-더루츠,울산 온양발리 신일해피트리 더루츠,F_기축,울산,울주군,95,94
울산-온양발리-한양립스-더퍼스트,울산 온양발리 한양립스 더퍼스트,F_기축,울산,울주군,119,80
울산교동리슈빌,울산교동리슈빌,F_기축,울산,울주군,,84
울산구영리코아루,울산구영리코아루,F_기축,울산,울주군,,90
울산대현-시티프라디움,울산대현 시티프라디움,F_기축,울산,남구,216,100
울산덕하신일해피트리,울산덕하신일해피트리,F_기축,울산,울주군,672,95
울산블루마시티푸르지오,울산블루마시티푸르지오,F_기축,울산,북구,,50
울산역신도시동문디이스트,울산역신도시동문디이스트,F_기축,울산,울주군,,81
울산온양대우,울산온양대우,F_기축,울산,울주군,119,100
울산온양서희스타힐스,울산온양서희스타힐스,F_기축,울산,울주군,119,100
울산온양일동미라주아파트,울산온양일동미라주아파트,F_기축,울산,울주군,119,100
율동지구-한신더휴-1블록,율동지구 한신더휴 B1블록,F_기축,울산,북구,239,89
율동지구-한신더휴-c2블록,율동지구 한신더휴 C2블록,F_기축,울산,울산광역시,407,61
이화한라동아,이화한라동아,F_기축,울산,북구,,52
일신파크맨션,일신파크맨션,F_기축,울산,울주군,,82
장검한라아트빌,장검한라아트빌,F_기축,울산,울주군,,90
진우훼밀리아,진우훼밀리아,F_기축,울산,울주군,,66
천상국태그린빌,천상국태그린빌,F_기축,울산,울주군,,90
청구천상그린타운1차,청구(천상그린타운)1차,F_기축,울산,울주군,,90
청구천상그린타운2차,청구(천상그린타운)2차,F_기축,울산,울주군,,90
태봉파크맨션,태봉파크맨션,F_기축,울산,울주군,,82
태화강-유보라-팰라티움,태화강 유보라 팰라티움,F_기축,울산,중구,122,100
태화강-유보라-팰라티움조합원-취소분,태화강 유보라 팰라티움(조합원 취소분),F_기축,울산,중구,33,90
태화강-유블레스-센트럴파크,태화강 유블레스 센트럴파크,F_기축,울산,중구,136,100
학성동-동남하이빌아파트,학성동 동남하이빌아파트,F_기축,울산,중구,69,100
한라그린피스,한라그린피스,F_기축,울산,울주군,,82
한신더휴에듀포레2단지,한신더휴에듀포레2단지,F_기축,울산,북구,,51
현대패밀리명덕2,현대패밀리명덕2,F_기축,울산,동구,,56
호반베르디움,호반베르디움,F_기축,울산,울주군,,90
